	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105311	38708	30019	30019	30019 (16980 uniques)	28204 (725 uniques)	24527 (586 uniques)	24515 (564 uniques)	24515 (564 uniques)	24515 (564 uniques)	24515 (564 uniques)	24515 (451 uniques)	24314 (443 uniques)	24314 (443 uniques)	3700 (402 uniques)	3700 (402 uniques)	3695 (398 uniques)
105312	18841	10552	10552	10552 (3929 uniques)	10239 (62 uniques)	7422 (57 uniques)	7376 (54 uniques)	7376 (54 uniques)	7376 (54 uniques)	7376 (54 uniques)	7376 (45 uniques)	7303 (40 uniques)	7303 (40 uniques)	3700 (40 uniques)	3700 (40 uniques)	3699 (39 uniques)
105313	77350	62162	62162	62162 (30543 uniques)	56989 (1210 uniques)	51338 (862 uniques)	51271 (829 uniques)	51166 (823 uniques)	51166 (823 uniques)	51166 (823 uniques)	51166 (756 uniques)	47658 (677 uniques)	47658 (677 uniques)	3700 (410 uniques)	3700 (410 uniques)	3606 (332 uniques)
105314	26287	20811	20811	20811 (13049 uniques)	19001 (621 uniques)	15256 (461 uniques)	15256 (452 uniques)	15256 (452 uniques)	15256 (452 uniques)	15256 (452 uniques)	15256 (389 uniques)	15157 (385 uniques)	15157 (385 uniques)	3700 (362 uniques)	3700 (362 uniques)	3693 (356 uniques)
105315	30350	24529	24529	24529 (16064 uniques)	22367 (660 uniques)	16791 (482 uniques)	16791 (475 uniques)	16791 (475 uniques)	16791 (475 uniques)	16791 (475 uniques)	16791 (392 uniques)	16732 (389 uniques)	16732 (389 uniques)	3700 (369 uniques)	3700 (369 uniques)	3698 (367 uniques)
105316	39856	32177	32177	32177 (18512 uniques)	30206 (854 uniques)	25655 (663 uniques)	25625 (647 uniques)	25613 (646 uniques)	25613 (646 uniques)	25613 (646 uniques)	25613 (516 uniques)	25026 (495 uniques)	25026 (495 uniques)	3700 (438 uniques)	3700 (438 uniques)	3674 (420 uniques)
105317	49649	39938	39938	39938 (10764 uniques)	39218 (186 uniques)	38166 (159 uniques)	38115 (144 uniques)	38035 (138 uniques)	38035 (138 uniques)	38035 (138 uniques)	38035 (104 uniques)	7284 (87 uniques)	7284 (87 uniques)	3700 (86 uniques)	3700 (86 uniques)	3698 (85 uniques)
105318	55037	43643	43643	43643 (23837 uniques)	40935 (1206 uniques)	35696 (942 uniques)	35664 (928 uniques)	35664 (928 uniques)	35664 (928 uniques)	35664 (928 uniques)	35664 (808 uniques)	35472 (795 uniques)	35472 (795 uniques)	3700 (658 uniques)	3700 (658 uniques)	3598 (583 uniques)
105319	62346	50098	50098	50098 (27910 uniques)	47411 (1066 uniques)	41164 (848 uniques)	41150 (811 uniques)	41150 (811 uniques)	41150 (811 uniques)	41150 (811 uniques)	41150 (630 uniques)	40843 (617 uniques)	40843 (617 uniques)	3700 (505 uniques)	3700 (505 uniques)	3686 (495 uniques)
105320	82050	69546	69546	69546 (21266 uniques)	68937 (166 uniques)	66957 (195 uniques)	66957 (157 uniques)	65564 (129 uniques)	65564 (129 uniques)	65564 (129 uniques)	65564 (62 uniques)	65505 (61 uniques)	65505 (61 uniques)	3700 (47 uniques)	3700 (47 uniques)	3700 (47 uniques)
