"","Size","kingdom","phylum","class","order","family","genus"
"Otu36955","    3","Bacteria","Zixibacteria","Zixibacteria_cl","Zixibacteria_or","Zixibacteria_fa","Zixibacteria_ge"
"Otu36958","    3","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu36959","    4","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured"
"Otu36960","    6","Bacteria","Actinobacteria","0319-7L14","0319-7L14_or","0319-7L14_fa","0319-7L14_ge"
"Otu36966","    3","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"Otu36974","    3","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified"
"Otu36981","    4","Bacteria","Latescibacteria","Latescibacteria_cl","Latescibacteria_or","Latescibacteria_fa","Latescibacteria_ge"
"Otu36990","    4","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaetaceae_unclassified"
"Otu36991","    5","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","uncultured"
"Otu36992","    3","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu36993","    7","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified"
"Otu36994","    4","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"Otu36996","    4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","uncultured_ge"
"Otu37001","    3","Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_fa","SBR1031_ge"
"Otu37003","    3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","SB-5","SB-5_ge"
"Otu37004","    5","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales_unclassified","Babeliales_unclassified"
"Otu37006","    5","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured"
